,Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2021,,,,,,,,,NAICS_level_1,NAICS_level_2,NAICS_level_3,NAICS_level_4,NAICS_level_5,2017 NAICS Title,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM
,,,,,,,,,,44,448,4481,44814,448140,Family Clothing Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,448,4481,44815,448150,Clothing Accessories Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,448,4481,44819,448190,Other Clothing Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,448,4482,44821,448210,Shoe Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,448,4483,44831,448310,Jewelry Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,44,448,4483,44832,448320,Luggage and Leather Goods Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,451,4511,45111,451110,Sporting Goods Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,451,4511,45112,451120,"Hobby, Toy, and Game Stores ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,451,4511,45113,451130,"Sewing, Needlework, and Piece Goods Stores ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,451,4511,45114,451140,Musical Instrument and Supplies Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,451,4512,45121,451211,Book Stores ,820,#N/A,#N/A,#N/A
,,,,,,,,,,45,451,4512,45121,451212,News Dealers and Newsstands ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,452,4522,45221,452210,Department Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,452,4523,45231,452311,Warehouse Clubs and Supercenters ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,452,4523,45231,452319,All Other General Merchandise Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4531,45311,453110,Florists ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4532,45321,453210,Office Supplies and Stationery Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4532,45322,453220,"Gift, Novelty, and Souvenir Stores ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4533,45331,453310,Used Merchandise Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4539,45391,453910,Pet and Pet Supplies Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4539,45392,453920,Art Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4539,45393,453930,Manufactured (Mobile) Home Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4539,45399,453991,Tobacco Stores ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,453,4539,45399,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,454,4541,45411,454110,Electronic Shopping and Mail-Order Houses ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,454,4542,45421,454210,Vending Machine Operators ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,454,4543,45431,454310,Fuel Dealers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,45,454,4543,45439,454390,Other Direct Selling Establishments ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,481,4811,48111,481111,Scheduled Passenger Air Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,481,4811,48111,481112,Scheduled Freight Air Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,481,4812,48121,481211,Nonscheduled Chartered Passenger Air Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,481,4812,48121,481212,Nonscheduled Chartered Freight Air Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,481,4812,48121,481219,Other Nonscheduled Air Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,482,4821,48211,482111,Line-Haul Railroads ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,482,4821,48211,482112,Short Line Railroads ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,483,4831,48311,483111,Deep Sea Freight Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,483,4831,48311,483112,Deep Sea Passenger Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,483,4831,48311,483113,Coastal and Great Lakes Freight Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,483,4831,48311,483114,Coastal and Great Lakes Passenger Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,483,4832,48321,483211,Inland Water Freight Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,483,4832,48321,483212,Inland Water Passenger Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,484,4841,48411,484110,"General Freight Trucking, Local ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,484,4841,48412,484121,"General Freight Trucking, Long-Distance, Truckload ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,484,4841,48412,484122,"General Freight Trucking, Long-Distance, Less Than Truckload ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,484,4842,48421,484210,Used Household and Office Goods Moving,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,484,4842,48422,484220,"Specialized Freight (except Used Goods) Trucking, Local ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,484,4842,48423,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4851,48511,485111,Mixed Mode Transit Systems ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4851,48511,485112,Commuter Rail Systems ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4851,48511,485113,Bus and Other Motor Vehicle Transit Systems ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4851,48511,485119,Other Urban Transit Systems ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4852,48521,485210,Interurban and Rural Bus Transportation,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4853,48531,485310,Taxi Service ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4853,48532,485320,Limousine Service,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4854,48541,485410,School and Employee Bus Transportation,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4855,48551,485510,Charter Bus Industry,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4859,48599,485991,Special Needs Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,485,4859,48599,485999,All Other Transit and Ground Passenger Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,486,4861,48611,486110,Pipeline Transportation of Crude Oil,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,486,4862,48621,486210,Pipeline Transportation of Natural Gas,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,486,4869,48691,486910,Pipeline Transportation of Refined Petroleum Products,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,486,4869,48699,486990,All Other Pipeline Transportation,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,487,4871,48711,487110,"Scenic and Sightseeing Transportation, Land",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,487,4872,48721,487210,"Scenic and Sightseeing Transportation, Water",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,487,4879,48799,487990,"Scenic and Sightseeing Transportation, Other",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4881,48811,488111,Air Traffic Control,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4881,48811,488119,Other Airport Operations ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4881,48819,488190,Other Support Activities for Air Transportation,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4882,48821,488210,Support Activities for Rail Transportation,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4883,48831,488310,Port and Harbor Operations,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4883,48832,488320,Marine Cargo Handling,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4883,48833,488330,Navigational Services to Shipping ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4883,48839,488390,Other Support Activities for Water Transportation,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4884,48841,488410,Motor Vehicle Towing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4884,48849,488490,Other Support Activities for Road Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4885,48851,488510,Freight Transportation Arrangement ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4889,48899,488991,Packing and Crating ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,48,488,4889,48899,488999,All Other Support Activities for Transportation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,49,491,4911,49111,491110,Postal Service,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,49,492,4921,49211,492110,Couriers and Express Delivery Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,49,492,4922,49221,492210,Local Messengers and Local Delivery,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,49,493,4931,49311,493110,General Warehousing and Storage ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,49,493,4931,49312,493120,Refrigerated Warehousing and Storage,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,49,493,4931,49313,493130,Farm Product Warehousing and Storage,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,49,493,4931,49319,493190,Other Warehousing and Storage,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,511,5111,51111,511110,Newspaper Publishers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,511,5111,51112,511120,Periodical Publishers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,511,5111,51113,511130,Book Publishers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,511,5111,51114,511140,Directory and Mailing List Publishers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,511,5111,51119,511191,Greeting Card Publishers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,511,5111,51119,511199,All Other Publishers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,511,5112,51121,511210,Software Publishers,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5121,51211,512110,Motion Picture and Video Production ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5121,51212,512120,Motion Picture and Video Distribution,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5121,51213,512131,Motion Picture Theaters (except Drive-Ins) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5121,51213,512132,Drive-In Motion Picture Theaters ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5121,51219,512191,Teleproduction and Other Postproduction Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5121,51219,512199,Other Motion Picture and Video Industries ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5122,51223,512230,Music Publishers,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5122,51224,512240,Sound Recording Studios,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5122,51225,512250,Record Production and Distribution,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,512,5122,51229,512290,Other Sound Recording Industries,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,515,5151,51511,515111,Radio Networks ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,515,5151,51511,515112,Radio Stations ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,515,5151,51512,515120,Television Broadcasting,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,515,5152,51521,515210,Cable and Other Subscription Programming,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,517,5173,51731,517311,Wired Telecommunications Carriers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,517,5173,51731,517312,Wireless Telecommunications Carriers (except Satellite),#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,517,5174,51741,517410,Satellite Telecommunications,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,517,5179,51791,517911,Telecommunications Resellers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,517,5179,51791,517919,All Other Telecommunications ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,518,5182,51821,518210,"Data Processing, Hosting, and Related Services",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,519,5191,51911,519110,News Syndicates,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,519,5191,51912,519120,Libraries and Archives ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,519,5191,51913,519130,Internet Publishing and Broadcasting and Web Search Portals,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,51,519,5191,51919,519190,All Other Information Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,521,5211,52111,521110,Monetary Authorities-Central Bank,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5221,52211,522110,Commercial Banking ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5221,52212,522120,Savings Institutions ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5221,52213,522130,Credit Unions ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5221,52219,522190,Other Depository Credit Intermediation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5222,52221,522210,Credit Card Issuing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5222,52222,522220,Sales Financing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5222,52229,522291,Consumer Lending ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5222,52229,522292,Real Estate Credit ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5222,52229,522293,International Trade Financing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5222,52229,522294,Secondary Market Financing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5222,52229,522298,All Other Nondepository Credit Intermediation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5223,52231,522310,Mortgage and Nonmortgage Loan Brokers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5223,52232,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,522,5223,52239,522390,Other Activities Related to Credit Intermediation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5231,52311,523110,Investment Banking and Securities Dealing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5231,52312,523120,Securities Brokerage ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5231,52313,523130,Commodity Contracts Dealing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5231,52314,523140,Commodity Contracts Brokerage ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5232,52321,523210,Securities and Commodity Exchanges,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5239,52391,523910,Miscellaneous Intermediation ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5239,52392,523920,Portfolio Management ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5239,52393,523930,Investment Advice ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5239,52399,523991,"Trust, Fiduciary, and Custody Activities ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,523,5239,52399,523999,Miscellaneous Financial Investment Activities ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5241,52411,524113,Direct Life Insurance Carriers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5241,52411,524114,Direct Health and Medical Insurance Carriers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5241,52412,524126,Direct Property and Casualty Insurance Carriers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5241,52412,524127,Direct Title Insurance Carriers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5241,52412,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5241,52413,524130,Reinsurance Carriers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5242,52421,524210,Insurance Agencies and Brokerages ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5242,52429,524291,Claims Adjusting ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5242,52429,524292,Third Party Administration of Insurance and Pension Funds ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,524,5242,52429,524298,All Other Insurance Related Activities ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,525,5251,52511,525110,Pension Funds ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,525,5251,52512,525120,Health and Welfare Funds ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,525,5251,52519,525190,Other Insurance Funds ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,525,5259,52591,525910,Open-End Investment Funds ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,525,5259,52592,525920,"Trusts, Estates, and Agency Accounts ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,52,525,5259,52599,525990,Other Financial Vehicles ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5311,53111,531110,Lessors of Residential Buildings and Dwellings ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5311,53112,531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5311,53113,531130,Lessors of Miniwarehouses and Self-Storage Units ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5311,53119,531190,Lessors of Other Real Estate Property ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5312,53121,531210,Offices of Real Estate Agents and Brokers,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5313,53131,531311,Residential Property Managers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5313,53131,531312,Nonresidential Property Managers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5313,53132,531320,Offices of Real Estate Appraisers ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,531,5313,53139,531390,Other Activities Related to Real Estate ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5321,53211,532111,Passenger Car Rental ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5321,53211,532112,Passenger Car Leasing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5321,53212,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5322,53221,532210,Consumer Electronics and Appliances Rental,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5322,53228,532281,Formal Wear and Costume Rental,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5322,53228,532282,Video Tape and Disc Rental,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5322,53228,532283,Home Health Equipment Rental ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5322,53228,532284,Recreational Goods Rental ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5322,53228,532289,All Other Consumer Goods Rental ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5323,53231,532310,General Rental Centers,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5324,53241,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5324,53241,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5324,53242,532420,Office Machinery and Equipment Rental and Leasing,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,532,5324,53249,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,53,533,5331,53311,533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5411,54111,541110,Offices of Lawyers,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5411,54112,541120,Offices of Notaries,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5411,54119,541191,Title Abstract and Settlement Offices ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5411,54119,541199,All Other Legal Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5412,54121,541211,Offices of Certified Public Accountants ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5412,54121,541213,Tax Preparation Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5412,54121,541214,Payroll Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5412,54121,541219,Other Accounting Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5413,54131,541310,Architectural Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5413,54132,541320,Landscape Architectural Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5413,54133,541330,Engineering Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5413,54134,541340,Drafting Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5413,54135,541350,Building Inspection Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5413,54136,541360,Geophysical Surveying and Mapping Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5413,54137,541370,Surveying and Mapping (except Geophysical) Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5413,54138,541380,Testing Laboratories,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5414,54141,541410,Interior Design Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5414,54142,541420,Industrial Design Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5414,54143,541430,Graphic Design Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5414,54149,541490,Other Specialized Design Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5415,54151,541511,Custom Computer Programming Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5415,54151,541512,Computer Systems Design Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5415,54151,541513,Computer Facilities Management Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5415,54151,541519,Other Computer Related Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5416,54161,541611,Administrative Management and General Management Consulting Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5416,54161,541612,Human Resources Consulting Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5416,54161,541613,Marketing Consulting Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5416,54161,541614,"Process, Physical Distribution, and Logistics Consulting Services ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5416,54161,541618,Other Management Consulting Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5416,54162,541620,Environmental Consulting Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5416,54169,541690,Other Scientific and Technical Consulting Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5417,54171,541713,Research and Development in Nanotechnology ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5417,54171,541714,Research and Development in Biotechnology (except Nanobiotechnology),#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5417,54171,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5417,54172,541720,Research and Development in the Social Sciences and Humanities ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5418,54181,541810,Advertising Agencies,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5418,54182,541820,Public Relations Agencies,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5418,54183,541830,Media Buying Agencies,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5418,54184,541840,Media Representatives,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5418,54185,541850,Outdoor Advertising,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5418,54186,541860,Direct Mail Advertising,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5418,54187,541870,Advertising Material Distribution Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5418,54189,541890,Other Services Related to Advertising ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5419,54191,541910,Marketing Research and Public Opinion Polling,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5419,54192,541921,"Photography Studios, Portrait ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5419,54192,541922,Commercial Photography ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5419,54193,541930,Translation and Interpretation Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5419,54194,541940,Veterinary Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,54,541,5419,54199,541990,"All Other Professional, Scientific, and Technical Services",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,55,551,5511,55111,551111,Offices of Bank Holding Companies ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,55,551,5511,55111,551112,Offices of Other Holding Companies ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,55,551,5511,55111,551114,"Corporate, Subsidiary, and Regional Managing Offices ",#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,56,561,5611,56111,561110,Office Administrative Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,56,561,5612,56121,561210,Facilities Support Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,56,561,5613,56131,561311,Employment Placement Agencies ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,56,561,5613,56131,561312,Executive Search Services ,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,56,561,5613,56132,561320,Temporary Help Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,56,561,5613,56133,561330,Professional Employer Organizations,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,56,561,5614,56141,561410,Document Preparation Services,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,56,561,5614,56142,561421,Telephone Answering Services ,#N/A,#N/A,#N/A,#N/A
